TW_1175_TW_1175	TW_1175_TW_1175	2	36.5	-0.0192055	0.00108867	-0.00534627	0.0042473	-0.00425294	0.00135561	-0.00380709	-0.00986488	0.00730889	0.0096271	0.0108309	0.00134088	-0.0342651	-0.0431453	-0.0322449	-0.0429	0.0250081	0.0157224	0.0145519	-0.00192164
TW_12_TW_12	TW_12_TW_12	2	24.1	-0.0215416	0.00385347	0.00581382	0.00214454	-0.00500298	0.00954376	0.00470995	-0.0184179	0.0177398	-0.0146561	-0.0174833	-0.0201767	-0.0064173	0.03187	0.119461	-0.0121274	0.0571755	-0.0248345	-0.0666535	0.0536557
TW_1210_TW_1210	TW_1210_TW_1210	2	34.6	-0.0206306	0.00709004	-0.00247071	0.00531747	-0.00458682	-0.0033359	0.00192516	-0.0168505	0.000240004	0.00311866	-0.00539802	-0.00283033	0.0215948	-0.00577507	0.0793676	0.0192521	0.00731975	-0.0409649	-0.0832556	0.0259515
TW_1211_TW_1211	TW_1211_TW_1211	2	34.6	-0.0206306	0.00709004	-0.00247071	0.00531747	-0.00458682	-0.0033359	0.00192516	-0.0168505	0.000240004	0.00311866	-0.00539802	-0.00283033	0.0215948	-0.00577507	0.0793676	0.0192521	0.00731975	-0.0409649	-0.0832556	0.0259515
TW_1271_TW_1271	TW_1271_TW_1271	2	47.7	-0.0239398	0.0570519	0.0112092	-0.195225	-0.293558	-0.181294	-0.262912	0.12496	0.00376673	-0.00558997	-0.0038194	-0.00489375	-0.00331371	0.00176928	-0.000370632	-0.00101729	0.00632866	-0.00261025	0.00711175	-0.00383206
TW_1272_TW_1272	TW_1272_TW_1272	2	47.7	-0.0239398	0.0570519	0.0112092	-0.195225	-0.293558	-0.181294	-0.262912	0.12496	0.00376673	-0.00558997	-0.0038194	-0.00489375	-0.00331371	0.00176928	-0.000370632	-0.00101729	0.00632866	-0.00261025	0.00711175	-0.00383206
TW_1289_TW_1289	TW_1289_TW_1289	1	34.1	0.142937	0.00224931	0.00272046	0.000688806	0.000781006	-0.000741141	-8.19E-05	0.00308975	-0.0124103	-0.0403048	-0.00919206	0.0786271	-0.0404052	-0.0115627	0.0556746	-0.0712098	-0.13825	0.0834512	0.0839179	0.00872668
TW_1290_TW_1290	TW_1290_TW_1290	1	34.1	0.142937	0.00224931	0.00272046	0.000688806	0.000781006	-0.000741141	-8.19E-05	0.00308975	-0.0124103	-0.0403048	-0.00919206	0.0786271	-0.0404052	-0.0115627	0.0556746	-0.0712098	-0.13825	0.0834512	0.0839179	0.00872668
TW_1305_TW_1305	TW_1305_TW_1305	1	64.2	-0.0228752	0.0034916	0.00442336	0.00424964	-0.00949216	0.00272187	0.000726614	-0.0159358	0.00047865	0.00756809	-0.00626167	0.00499254	-0.00380775	0.00819527	0.00601187	-0.0282297	0.052626	0.0281339	-0.029478	0.0415714
TW_1306_TW_1306	TW_1306_TW_1306	1	64.2	-0.0228752	0.0034916	0.00442336	0.00424964	-0.00949216	0.00272187	0.000726614	-0.0159358	0.00047865	0.00756809	-0.00626167	0.00499254	-0.00380775	0.00819527	0.00601187	-0.0282297	0.052626	0.0281339	-0.029478	0.0415714
TW_1321_TW_1321	TW_1321_TW_1321	2	49.6	-0.0204431	-0.000164633	-0.00319013	-0.00120501	0.00407885	-0.00318988	0.00183344	-0.0146764	0.000364031	0.00567218	-0.0021843	0.00279025	0.0333021	-0.025872	0.0217397	0.0158442	-0.0527414	-0.0460072	0.00668891	0.006189
TW_1322_TW_1322	TW_1322_TW_1322	2	49.6	-0.0204431	-0.000164633	-0.00319013	-0.00120501	0.00407885	-0.00318988	0.00183344	-0.0146764	0.000364031	0.00567218	-0.0021843	0.00279025	0.0333021	-0.025872	0.0217397	0.0158442	-0.0527414	-0.0460072	0.00668891	0.006189
TW_1349_TW_1349	TW_1349_TW_1349	2	23.9	-0.020009	0.00598818	-0.00125107	0.0073348	-0.00133808	-0.00273728	-0.00241145	-0.0141829	0.00614966	-0.00219765	0.0150127	-0.000619797	0.00617849	-0.0510363	0.0569191	-0.0313135	0.0222358	-0.0195509	-0.0387044	0.0678738
TW_1350_TW_1350	TW_1350_TW_1350	2	23.9	-0.020009	0.00598818	-0.00125107	0.0073348	-0.00133808	-0.00273728	-0.00241145	-0.0141829	0.00614966	-0.00219765	0.0150127	-0.000619797	0.00617849	-0.0510363	0.0569191	-0.0313135	0.0222358	-0.0195509	-0.0387044	0.0678738
TW_1373_TW_1373	TW_1373_TW_1373	2	53	-0.0235603	0.00126052	0.0057106	0.00503554	-0.00312975	-0.000229205	0.0128871	-0.00870374	0.00575108	0.00163137	-0.00103963	0.00508889	0.0390819	0.0668156	-0.0817816	-0.0194352	0.0239108	0.0494207	0.0439082	-0.0343257
TW_1374_TW_1374	TW_1374_TW_1374	2	53	-0.0235603	0.00126052	0.0057106	0.00503554	-0.00312975	-0.000229205	0.0128871	-0.00870374	0.00575108	0.00163137	-0.00103963	0.00508889	0.0390819	0.0668156	-0.0817816	-0.0194352	0.0239108	0.0494207	0.0439082	-0.0343257
TW_1391_TW_1391	TW_1391_TW_1391	2	31.2	-0.0216932	0.0120261	0.00210458	0.00123693	-0.00068017	0.00527553	0.000175356	-0.0106117	0.00448861	-0.00267666	0.0327328	0.00857986	0.027938	-0.0287404	0.0181097	0.00153848	0.002536	-0.00450313	-0.05358	-0.0349238
TW_1392_TW_1392	TW_1392_TW_1392	2	31.2	-0.0216932	0.0120261	0.00210458	0.00123693	-0.00068017	0.00527553	0.000175356	-0.0106117	0.00448861	-0.00267666	0.0327328	0.00857986	0.027938	-0.0287404	0.0181097	0.00153848	0.002536	-0.00450313	-0.05358	-0.0349238
